,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,L20,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L21,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L22,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L23,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,L24,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M01,Texas Red,,Unkn,,,18.94,18.94,0.000,,,,0.00000,60.0,
,M02,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M03,Texas Red,,Unkn,,,24.91,24.91,0.000,,,,0.00000,60.0,
,M04,Texas Red,,Unkn,,,12.34,12.34,0.000,,,,0.00000,60.0,
,M05,Texas Red,,Unkn,,,29.91,29.91,0.000,,,,0.00000,60.0,
,M06,Texas Red,,Unkn,,,29.96,29.96,0.000,,,,0.00000,60.0,
,M07,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M08,Texas Red,,Unkn,,,11.64,11.64,0.000,,,,0.00000,60.0,
,M09,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M10,Texas Red,,Unkn,,,22.69,22.69,0.000,,,,0.00000,60.0,
,M11,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M12,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M13,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M14,Texas Red,,Unkn,,,22.87,22.87,0.000,,,,0.00000,60.0,
,M15,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
,M16,Texas Red,,Unkn,,,,0.00,0.000,,,0.00000,0.00000,60.0,
